neighborhood,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,attending_feeder,attending_nonfeeder,total_with_feeder_status,feeder_count_redactions,grade_level
East Liberty,90,,,,,,,113,Y,47,66,113,,12-Sep
Elliott,39,,,,,,11,59,Y,41,18,59,,12-Sep
Esplen,,,,,,,,,Y,,,,Y,12-Sep
Fairywood,15,,,,,,,22,Y,,,22,Y,12-Sep
Fineview,13,,,,,,,18,Y,,,18,Y,12-Sep
Friendship,,,,,,,,20,Y,,,20,Y,12-Sep
Garfield,128,,,,,,11,148,Y,38,110,148,,12-Sep
Glen Hazel,20,,,,,,,22,Y,,,22,Y,12-Sep
Golden Triangle,,,,,,,,,Y,,,,Y,12-Sep
Greenfield,14,,,,12,,114,157,Y,104,53,157,,12-Sep
Hays,,,,,,,,11,Y,,,11,Y,12-Sep
Hazelwood,135,,,,,,46,194,Y,145,49,194,,12-Sep
Highland Park,43,,,,,,74,133,Y,,,133,Y,12-Sep
Homewood North,129,,,,,,,140,Y,83,57,140,,12-Sep
Homewood South,116,,,,,,,122,Y,67,55,122,,12-Sep
Homewood West,24,,,,,,,27,Y,,,27,Y,12-Sep
Knoxville,121,,,11,13,,26,175,Y,107,68,175,,12-Sep
Larimer,52,,,,,,,57,Y,20,37,57,,12-Sep
Lincoln Place,15,,,,,,53,78,Y,,,78,Y,12-Sep
Lincoln-Lemington-Belmar,134,,,,,,,144,Y,78,66,144,,12-Sep
Lower Lawrenceville,,,,,,,,18,Y,,,18,Y,12-Sep
Manchester,35,,,,,,,44,Y,12,32,44,,12-Sep
Marshall-Shadeland,95,,,,,,14,119,Y,55,64,119,,12-Sep
Middle Hill,41,,,,,,,44,Y,15,29,44,,12-Sep
Morningside,11,,,,,,24,43,Y,,,43,Y,12-Sep
Mount Oliver,13,,,,,,,21,Y,,,21,Y,12-Sep
Mount Washington,40,,,,15,,48,105,Y,80,25,105,,12-Sep
Mt. Oliver Borough,79,,,,16,,30,144,Y,81,63,144,,12-Sep
New Homestead,,,,,,,28,38,Y,,,38,Y,12-Sep
North Oakland,,,,,,,,,Y,,,,Y,12-Sep
Northview Heights,129,,,,,,,136,Y,42,94,136,,12-Sep
Oakwood,,,,,,,,17,Y,,,17,Y,12-Sep
Overbrook,,,,,,,55,74,Y,43,31,74,,12-Sep
Perry North,47,,,,14,,26,91,Y,40,51,91,,12-Sep
Perry South,100,,,,,,,119,Y,54,65,119,,12-Sep
Point Breeze,,,,,,,136,162,Y,118,44,162,,12-Sep
Point Breeze North,39,,,,,,,52,Y,39,13,52,,12-Sep
Polish Hill,,,,,,,,11,Y,,,11,Y,12-Sep
Regent Square,,,,,,,24,27,Y,,,27,Y,12-Sep
Ridgemont,,,,,,,,,Y,,,,Y,12-Sep
Saint Clair,,,,,,,,,Y,,,,Y,12-Sep
Shadyside,,,,,,,31,45,Y,31,14,45,,12-Sep
Sheraden,146,,,,19,,29,205,Y,138,67,205,,12-Sep
South Oakland,25,,,,,,,40,Y,,,40,Y,12-Sep
South Side Flats,,,,,,,21,40,Y,17,23,40,,12-Sep
South Side Slopes,,,,,,,27,42,Y,21,21,42,,12-Sep
Spring Garden,,,,,,,,16,Y,,,16,Y,12-Sep
Spring Hill-City View,33,,,,,,16,60,Y,26,34,60,,12-Sep
Squirrel Hill North,,,12,,12,,125,158,Y,115,43,158,,12-Sep
Squirrel Hill South,12,,14,14,17,,192,249,N,190,59,249,,12-Sep
Stanton Heights,53,,,,12,,25,93,Y,17,76,93,,12-Sep
Strip District,,,,,,,,,Y,,,,Y,12-Sep
Summer Hill,,,,,,,,13,Y,,,13,Y,12-Sep
Swisshelm Park,,,,,,,30,36,Y,,,36,Y,12-Sep
Terrace Village,98,,,,,,,98,N,42,56,98,,12-Sep
Troy Hill,15,,,,,,26,44,Y,14,30,44,,12-Sep
Upper Hill,36,,,,,,,40,Y,17,23,40,,12-Sep
Upper Lawrenceville,,,,,,,13,24,Y,,,24,Y,12-Sep
West End,,,,,,,,,Y,,,,Y,12-Sep
West Oakland,13,,,,,,,14,Y,,,14,Y,12-Sep
Westwood,,,17,,,,34,62,Y,41,21,62,,12-Sep
Wilkinsburg Borough,178,,,,,,,194,Y,,,194,Y,12-Sep
Windgap,19,,,,,,,31,Y,19,12,31,,12-Sep
